jobid	jobname	maxrss	maxvmsize	elapsed	state
5592100_0.batch	batch	6700396K	7851156K	00:15:31	COMPLETED
5592100_0.extern	extern	0	0	00:15:31	COMPLETED
5592100_1.batch	batch	6702344K	7861936K	00:15:33	COMPLETED
5592100_1.extern	extern	0	0	00:15:33	COMPLETED
5592100_2.batch	batch	6698508K	7846732K	00:15:31	COMPLETED
5592100_2.extern	extern	0	0	00:15:31	COMPLETED
5592100_3.batch	batch	6700952K	7849104K	00:15:29	COMPLETED
5592100_3.extern	extern	0	0	00:15:29	COMPLETED
5592100_4.batch	batch	6700780K	7848828K	00:15:26	COMPLETED
5592100_4.extern	extern	28K	28K	00:15:26	COMPLETED
5592100_5.batch	batch	6699852K	7847996K	00:15:29	COMPLETED
5592100_5.extern	extern	0	0	00:15:29	COMPLETED
5592100_6.batch	batch	6698132K	7846212K	00:15:29	COMPLETED
5592100_6.extern	extern	0	0	00:15:29	COMPLETED
5592100_7.batch	batch	6701456K	7849504K	00:15:27	COMPLETED
5592100_7.extern	extern	12K	12K	00:15:27	COMPLETED
5592100_8.batch	batch	6701984K	7861624K	00:15:28	COMPLETED
5592100_8.extern	extern	0	0	00:15:28	COMPLETED
5592100_9.batch	batch	6699452K	7854896K	00:15:27	COMPLETED
5592100_9.extern	extern	0	0	00:15:27	COMPLETED
