jobid	jobname	maxrss	maxvmsize	elapsed	state
5493069_0.batch	batch	6049304K	7913228K	00:13:30	COMPLETED
5493069_0.extern	extern	0	0	00:13:30	COMPLETED
5493069_1.batch	batch	6049616K	7913576K	00:13:29	COMPLETED
5493069_1.extern	extern	0	0	00:13:29	COMPLETED
5493069_2.batch	batch	6050096K	7914040K	00:13:29	COMPLETED
5493069_2.extern	extern	0	0	00:13:29	COMPLETED
5493069_3.batch	batch	6050236K	7912144K	00:13:30	COMPLETED
5493069_3.extern	extern	0	0	00:13:30	COMPLETED
5493069_4.batch	batch	6049240K	7913212K	00:13:29	COMPLETED
5493069_4.extern	extern	0	0	00:13:29	COMPLETED
5493069_5.batch	batch	6050128K	7769524K	00:13:32	COMPLETED
5493069_5.extern	extern	0	0	00:13:32	COMPLETED
5493069_6.batch	batch	6053100K	7917076K	00:13:28	COMPLETED
5493069_6.extern	extern	64K	64K	00:13:28	COMPLETED
5493069_7.batch	batch	6045000K	7762476K	00:13:27	COMPLETED
5493069_7.extern	extern	24K	24K	00:13:27	COMPLETED
5493069_8.batch	batch	6049080K	7912964K	00:13:29	COMPLETED
5493069_8.extern	extern	44K	44K	00:13:29	COMPLETED
5493069_9.batch	batch	6046048K	7764320K	00:13:27	COMPLETED
5493069_9.extern	extern	44K	44K	00:13:27	COMPLETED
