transcript_id	gene_id	strand	n_exons	n_internal_exons	first_exon_length	last_exon_length	internal_exon_mean	internal_exon_median	internal_exon_sd	intron_mean	intron_median	intron_sd
ENST00000378546.9	ENSG00000162585	-	4	2	85	234	204.0	204.0	96.16652224137046	1499.3333333333333	554	2055.107377567735
ENST00000376957.7	ENSG00000116649	-	8	6	242	297	120.16666666666667	122.0	27.80947080882099	595.7142857142857	431	675.5182490221155
ENST00000373709.8	ENSG00000168528	+	10	8	92	615	149.125	152.0	47.160629766787466	2174.0	828	3244.582099439002
ENST00000371226.8	ENSG00000162600	-	9	7	24	456	197.28571428571428	150	148.85755415353105	8018.375	3244.0	9507.318398213032
ENST00000370360.8	ENSG00000174842	-	19	17	63	245	99.88235294117646	90	51.22607045360445	2810.0	1078.5	4564.272353579162
ENST00000369099.8	ENSG00000118292	+	6	4	74	82	88.25	91.5	22.41093483101497	1523.6	1223	884.5729478115414
ENST00000428931.6	ENSG00000143569	+	27	25	21	648	128.32	111	63.43088101758217	1769.8461538461538	1290.5	1547.4200384461278
ENST00000367429.9	ENSG00000000971	+	22	20	133	394	171.75	177.0	28.476906617930183	4357.142857142857	1675	6413.07770330061
ENST00000310256.7	ENSG00000173409	+	6	4	186	596	161.5	150.5	44.799553569204235	4042.4	2870	3261.0934975863543
ENST00000408888.8	ENSG00000188739	-	11	9	77	815	106.11111111111111	84	65.50848121511528	2822.1	1959.0	3223.1386514803653
ENST00000349456.9	ENSG00000163001	+	10	8	199	173	101.5	102.5	33.29950664585202	2686.4444444444443	1751	2187.52063482331
ENST00000244217.6	ENSG00000124370	-	3	1	50	436	338.0	338	NA	9859.5	9859.5	5972.930980682767
ENST00000244230.7	ENSG00000124383	+	11	9	121	236	200.77777777777777	142	185.05457153079047	1730.4	1266.0	1275.9922674791828
ENST00000289359.6	ENSG00000158411	-	7	5	228	208	100.6	102	28.79756934187328	1809.5	808.0	2579.724617086095
ENST00000295095.11	ENSG00000075884	+	14	12	48	364	104.83333333333333	99.0	32.73261740869866	49020.307692307695	37043	47046.945434648245
ENST00000317647.12	ENSG00000163072	+	16	14	37	681	96.92857142857143	94.5	21.373831180690544	4053.5333333333333	2784	3802.0864547671467
ENST00000306125.12	ENSG00000172053	-	24	22	141	148	98.18181818181819	93.0	28.11309873255384	277.2608695652174	122	406.68283570093655
