transcript_id	gene_id	strand	n_exons	n_5UTR_junctions	n_CDS_junctions	n_3UTR_junctions	stop_dist_closest_upstream	stop_dist_closest_downstream	stop_dist_last_downstream	start_dist_closest_upstream	start_dist_closest_downstream
ENSBTAT00000037243	ENSBTAG00000020035	+	4	0	3	0	172	NA	NA	NA	87
ENSBTAT00000073708	ENSBTAG00000018278	+	6	0	5	0	113	NA	NA	NA	87
ENSBTAT00000049667	ENSBTAG00000035175	+	10	0	9	0	137	NA	NA	NA	483
ENSBTAT00000011175	ENSBTAG00000008482	-	12	0	11	0	59	NA	NA	NA	77
ENSBTAT00000116578	ENSBTAG00000009188	+	22	0	21	0	191	NA	NA	NA	10
ENSBTAT00000133069	ENSBTAG00000009187	+	2	1	0	0	1192	NA	NA	50	NA
ENSBTAT00000001660	ENSBTAG00000001258	+	8	2	5	0	45	NA	NA	41	99
ENSBTAT00000080092	ENSBTAG00000012899	-	7	0	6	0	230	NA	NA	NA	169
ENSBTAT00000029080	ENSBTAG00000021819	-	11	0	10	0	239	NA	NA	NA	73
ENSBTAT00000003986	ENSBTAG00000003064	+	18	0	17	0	117	NA	NA	NA	358
ENSBTAT00000027668	ENSBTAG00000020762	-	11	0	10	0	649	NA	NA	NA	264
ENSBTAT00000083963	ENSBTAG00000018855	+	20	0	19	0	946	NA	NA	NA	30
ENSBTAT00000032452	ENSBTAG00000018854	-	5	0	4	0	107	NA	NA	NA	606
ENSBTAT00000023716	ENSBTAG00000048631	+	13	0	12	0	469	NA	NA	NA	90
ENSBTAT00000005416	ENSBTAG00000004139	-	6	2	3	0	446	NA	NA	60	234
ENSBTAT00000096559	ENSBTAG00000014233	+	16	0	14	1	92	13	13	NA	60
ENSBTAT00000026801	ENSBTAG00000020122	-	18	1	16	0	124	NA	NA	41	61
ENSBTAT00000026800	ENSBTAG00000020121	+	6	2	3	0	234	NA	NA	20	207
ENSBTAT00000074692	ENSBTAG00000001412	-	7	0	6	0	33	NA	NA	NA	245
ENSBTAT00000000944	ENSBTAG00000000706	+	9	0	8	0	699	NA	NA	NA	739
ENSBTAT00000085054	ENSBTAG00000017753	+	18	0	17	0	101	NA	NA	NA	57
ENSBTAT00000025345	ENSBTAG00000019043	-	10	1	8	0	228	NA	NA	26	77
ENSBTAT00000001832	ENSBTAG00000001395	+	5	0	4	0	166	NA	NA	NA	5
ENSBTAT00000024895	ENSBTAG00000018704	+	5	1	3	0	239	NA	NA	6	173
ENSBTAT00000067490	ENSBTAG00000004869	-	7	0	6	0	264	NA	NA	NA	58
ENSBTAT00000109948	ENSBTAG00000019314	-	26	0	25	0	172	NA	NA	NA	45
ENSBTAT00000114020	ENSBTAG00000047293	+	4	3	0	0	3825	NA	NA	355	NA
ENSBTAT00000139161	ENSBTAG00000073338	+	5	0	4	0	667	NA	NA	NA	25
ENSBTAT00000101606	ENSBTAG00000009851	-	32	1	30	0	14	NA	NA	51	88
ENSBTAT00000083071	ENSBTAG00000036262	-	16	0	15	0	56	NA	NA	NA	152
ENSBTAT00000154212	ENSBTAG00000073909	+	6	0	5	0	110	NA	NA	NA	37
ENSBTAT00000109204	ENSBTAG00000046959	-	3	2	0	0	522	NA	NA	19	NA
ENSBTAT00000006796	ENSBTAG00000005155	+	10	0	9	0	118	NA	NA	NA	59
ENSBTAT00000020876	ENSBTAG00000015728	+	6	0	5	0	270	NA	NA	NA	15
ENSBTAT00000013306	ENSBTAG00000010091	+	9	1	7	0	33	NA	NA	27	123
ENSBTAT00000151826	ENSBTAG00000073969	+	1	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000113470	ENSBTAG00000015546	-	10	0	9	0	158	NA	NA	NA	182
ENSBTAT00000080474	ENSBTAG00000020996	-	5	0	4	0	220	NA	NA	NA	225
ENSBTAT00000005398	ENSBTAG00000004124	-	7	0	6	0	87	NA	NA	NA	541
ENSBTAT00000005868	ENSBTAG00000004471	+	13	3	8	1	86	1042	1042	11	89
ENSBTAT00000134326	ENSBTAG00000014889	-	17	0	16	0	469	NA	NA	NA	44
ENSBTAT00000018161	ENSBTAG00000013664	-	5	0	4	0	179	NA	NA	NA	243
ENSBTAT00000134465	ENSBTAG00000015010	+	20	0	19	0	81	NA	NA	NA	93
ENSBTAT00000087123	ENSBTAG00000004833	+	10	0	9	0	91	NA	NA	NA	64
ENSBTAT00000019001	ENSBTAG00000014302	-	12	0	11	0	153	NA	NA	NA	327
ENSBTAT00000074340	ENSBTAG00000004459	+	6	1	4	0	150	NA	NA	2	190
ENSBTAT00000068901	ENSBTAG00000016363	+	9	1	7	0	382	NA	NA	43	184
ENSBTAT00000022522	ENSBTAG00000016932	-	24	0	23	0	137	NA	NA	NA	40
