seqname	gene_id	transcript_id	region	length	selection_reason	short_utrs
ENSMUSG00000033845_ENSMUST00000156816.7_mRNA	ENSMUSG00000033845	ENSMUST00000156816.7	mRNA	4203	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_CDS	ENSMUSG00000033845	ENSMUST00000156816.7	CDS	888	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_5UTR	ENSMUSG00000033845	ENSMUST00000156816.7	5UTR	62	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_3UTR	ENSMUSG00000033845	ENSMUST00000156816.7	3UTR	3253	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_start_codon_region	ENSMUSG00000033845	ENSMUST00000156816.7	start_codon_region	63	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_stop_codon_region	ENSMUSG00000033845	ENSMUST00000156816.7	stop_codon_region	63	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_tail_region	ENSMUSG00000033845	ENSMUST00000156816.7	tail_region	100	appris_principal_1	false
ENSMUSG00000033845_ENSMUST00000156816.7_UTR_pair	ENSMUSG00000033845	ENSMUST00000156816.7	UTR_pair	3322	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_mRNA	ENSMUSG00000025903	ENSMUST00000027036.11	mRNA	2507	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_CDS	ENSMUSG00000025903	ENSMUST00000027036.11	CDS	693	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_5UTR	ENSMUSG00000025903	ENSMUST00000027036.11	5UTR	91	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_3UTR	ENSMUSG00000025903	ENSMUST00000027036.11	3UTR	1723	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_start_codon_region	ENSMUSG00000025903	ENSMUST00000027036.11	start_codon_region	63	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_stop_codon_region	ENSMUSG00000025903	ENSMUST00000027036.11	stop_codon_region	63	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_tail_region	ENSMUSG00000025903	ENSMUST00000027036.11	tail_region	100	appris_principal_1	false
ENSMUSG00000025903_ENSMUST00000027036.11_UTR_pair	ENSMUSG00000025903	ENSMUST00000027036.11	UTR_pair	1821	appris_principal_1	false
ENSMUSG00000033813_ENSMUST00000081551.14_mRNA	ENSMUSG00000033813	ENSMUST00000081551.14	mRNA	2547	appris_principal_1	false
