transcript_id	gene_id	region	length	source_file	seqid	strand
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	mRNA	1140	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000002191|NM_001191473.1|RRP12	+
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	5UTR	10	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000002191|NM_001191473.1|RRP12	+
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000002191|NM_001191473.1|RRP12	+
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	3UTR	413	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000002191|NM_001191473.1|RRP12	+
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	mRNA	1118	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004203|NM_001046049.2|VPS33A	+
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	5UTR	85	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004203|NM_001046049.2|VPS33A	+
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004203|NM_001046049.2|VPS33A	+
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	3UTR	316	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004203|NM_001046049.2|VPS33A	+
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	mRNA	1109	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004834|NM_001083755.1|CNOT10	+
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	5UTR	77	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004834|NM_001083755.1|CNOT10	+
