Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSBTAG00000012756,ENSBTAT00000016954,Ensembl_canonical,1769,1632,15,122,144,Short_or_Missing_UTRs
ENSBTAG00000000542,ENSBTAT00000000705,Ensembl_canonical,1336,1068,18,250,275,Short_or_Missing_UTRs
ENSBTAG00000005614,ENSBTAT00000123609,Ensembl_canonical,1928,1302,63,563,633,Success
ENSBTAG00000016367,ENSBTAT00000021769,Ensembl_canonical,935,573,16,346,369,Short_or_Missing_UTRs
ENSBTAG00000038748,ENSBTAT00000075590,Ensembl_canonical,803,612,55,136,198,Success
ENSBTAG00000004639,ENSBTAT00000006085,Ensembl_canonical,1661,1050,92,519,618,Success
ENSBTAG00000004203,ENSBTAT00000071202,Ensembl_canonical,2267,1866,85,316,408,Success
ENSBTAG00000010812,ENSBTAT00000014321,Ensembl_canonical,1739,1167,23,549,579,Short_or_Missing_UTRs
ENSBTAG00000020942,ENSBTAT00000027892,Ensembl_canonical,1667,1218,38,411,456,Success
ENSBTAG00000012966,ENSBTAT00000120713,Ensembl_canonical,2141,1695,48,398,453,Success
ENSBTAG00000019231,ENSBTAT00000025606,Ensembl_canonical,1122,876,19,227,253,Short_or_Missing_UTRs
ENSBTAG00000001160,ENSBTAT00000109481,Ensembl_canonical,1899,1692,73,134,214,Success
ENSBTAG00000021960,ENSBTAT00000029279,Ensembl_canonical,1085,630,24,431,462,Short_or_Missing_UTRs
ENSBTAG00000000944,ENSBTAT00000107270,Ensembl_canonical,2078,1734,33,311,351,Success
ENSBTAG00000004834,ENSBTAT00000080945,Ensembl_canonical,2804,2412,77,315,399,Success
ENSBTAG00000053755,ENSBTAT00000080248,Ensembl_canonical,357,195,15,147,169,Short_or_Missing_UTRs
ENSBTAG00000015829,ENSBTAT00000057413,Ensembl_canonical,1780,1434,57,289,353,Success
ENSBTAG00000009142,ENSBTAT00000012047,Ensembl_canonical,2009,1434,41,534,582,Success
ENSBTAG00000018016,ENSBTAT00000023981,Ensembl_canonical,573,249,15,309,331,Short_or_Missing_UTRs
ENSBTAG00000005708,ENSBTAT00000032984,Ensembl_canonical,5764,5511,84,169,260,Success
ENSBTAG00000002191,ENSBTAT00000083851,Ensembl_canonical,4449,4026,10,413,430,Short_or_Missing_UTRs
ENSBTAG00000015961,ENSBTAT00000021222,Ensembl_canonical,1099,699,16,384,407,Short_or_Missing_UTRs
ENSBTAG00000006491,ENSBTAT00000102574,Ensembl_canonical,5227,4740,63,424,494,Success
ENSBTAG00000006911,ENSBTAT00000045218,Ensembl_canonical,3052,2778,63,211,281,Success
ENSBTAG00000000022,ENSBTAT00000000024,Ensembl_canonical,1217,1011,60,146,213,Success
ENSBTAG00000000647,ENSBTAT00000000851,Ensembl_canonical,2340,2034,19,287,313,Short_or_Missing_UTRs
ENSBTAG00000011611,ENSBTAT00000124922,Ensembl_canonical,1133,522,58,553,618,Success
ENSBTAG00000019939,ENSBTAT00000109376,Ensembl_canonical,1602,1053,16,533,556,Short_or_Missing_UTRs
ENSBTAG00000011509,ENSBTAT00000075870,Ensembl_canonical,2159,1875,41,243,291,Success
ENSBTAG00000013244,ENSBTAT00000078707,Ensembl_canonical,4041,3660,64,317,388,Success
