transcript_id	codon_AAA	codon_AAC	codon_AAG	codon_AAT	codon_ACA	codon_ACC	codon_ACG	codon_ACT	codon_AGA	codon_AGC	codon_AGG	codon_AGT	codon_ATA	codon_ATC	codon_ATG	codon_ATT	codon_CAA	codon_CAC	codon_CAG	codon_CAT	codon_CCA	codon_CCC	codon_CCG	codon_CCT	codon_CGA	codon_CGC	codon_CGG	codon_CGT	codon_CTA	codon_CTC	codon_CTG	codon_CTT	codon_GAA	codon_GAC	codon_GAG	codon_GAT	codon_GCA	codon_GCC	codon_GCG	codon_GCT	codon_GGA	codon_GGC	codon_GGG	codon_GGT	codon_GTA	codon_GTC	codon_GTG	codon_GTT	codon_TAA	codon_TAC	codon_TAG	codon_TAT	codon_TCA	codon_TCC	codon_TCG	codon_TCT	codon_TGA	codon_TGC	codon_TGG	codon_TGT	codon_TTA	codon_TTC	codon_TTG	codon_TTT	codon_other	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	cds_length_codons	n_codons_scored	n_stops	aa_total
ENSBTAT00000016954	17	9	23	8	10	8	0	12	3	2	6	3	0	25	18	15	4	4	20	5	6	6	2	3	4	6	5	3	3	9	17	10	7	13	30	18	9	25	6	19	6	16	7	10	1	11	23	7	0	7	0	4	5	9	1	6	1	6	3	3	4	8	5	8	0	59	9	31	37	16	39	9	40	40	48	18	17	17	24	27	26	30	42	3	11	544	544	1	543
ENSBTAT00000000705	18	3	12	10	7	2	1	8	5	3	3	2	2	6	12	9	9	2	16	6	5	1	3	7	2	1	3	2	2	5	9	8	29	7	19	9	9	6	3	2	5	5	4	4	2	2	9	5	0	1	0	4	7	5	0	3	1	2	2	3	5	5	7	7	0	20	5	16	48	12	18	8	17	30	36	12	13	16	25	16	20	18	18	2	5	356	356	1	355
ENSBTAT00000123609	6	17	10	5	5	10	3	3	5	11	13	1	1	16	13	5	1	11	15	1	7	9	4	4	4	3	1	3	7	9	25	4	15	12	15	4	4	14	3	4	6	11	10	2	2	10	20	6	0	10	1	3	3	5	0	7	0	4	8	6	1	7	4	5	0	25	10	16	30	12	29	12	22	16	50	13	22	24	16	29	27	21	38	8	13	434	434	1	433
ENSBTAT00000021769	6	5	14	3	2	1	1	6	2	1	2	2	0	6	3	2	2	3	7	2	4	2	1	5	3	1	1	0	2	3	9	4	10	2	5	4	9	3	2	3	1	4	2	1	0	2	4	1	0	4	0	3	3	4	0	4	1	0	3	2	1	5	1	2	0	17	2	6	15	7	8	5	8	20	20	3	8	12	9	9	14	10	7	3	7	191	191	1	190
ENSBTAT00000075590	2	5	15	1	0	2	0	5	1	1	5	2	0	0	2	1	1	4	4	2	0	2	1	3	0	2	0	0	1	2	17	1	3	4	10	7	0	14	0	8	1	8	2	6	0	4	14	6	1	2	0	1	0	7	1	1	0	0	3	2	0	5	3	9	0	22	2	11	13	14	17	6	1	17	24	2	6	6	5	8	12	7	24	3	3	204	204	1	203
ENSBTAT00000006085	2	3	6	3	4	5	2	7	4	8	1	5	4	9	14	5	2	10	12	3	10	2	2	2	5	4	2	3	2	9	11	9	10	9	14	9	9	4	2	10	4	3	10	4	3	3	12	3	1	4	0	8	2	12	0	8	0	5	4	5	1	9	7	5	0	25	10	18	24	14	21	13	18	8	39	14	6	16	14	19	35	18	21	4	12	350	350	1	349
ENSBTAT00000071202	19	8	18	14	6	6	6	9	8	9	4	8	5	13	11	15	6	8	20	4	9	9	4	10	8	7	9	6	5	15	26	9	20	7	26	22	17	10	3	9	12	9	12	8	5	4	17	8	0	13	0	7	5	11	6	6	1	16	6	1	5	12	15	15	0	39	17	29	46	27	41	12	33	37	75	11	22	32	26	42	45	27	34	6	20	622	622	1	621
ENSBTAT00000014321	11	13	15	6	6	12	7	5	1	8	5	0	3	21	10	5	2	4	8	0	3	6	3	2	2	7	1	2	1	8	8	5	8	13	10	5	4	14	3	6	5	10	8	6	2	8	19	2	0	11	0	8	2	4	0	4	1	10	6	4	2	13	4	7	0	27	14	18	18	20	29	4	29	26	28	10	19	14	10	18	18	30	31	6	19	389	389	1	388
ENSBTAT00000027892	1	7	15	3	3	4	5	1	4	12	4	3	2	5	7	4	6	11	18	2	8	22	7	12	5	9	2	2	0	7	18	3	4	10	9	1	3	16	9	10	4	14	6	2	2	7	18	0	1	6	0	3	2	12	5	2	0	16	4	7	2	10	3	6	0	38	23	11	13	16	26	13	11	16	33	7	10	49	24	26	36	13	27	4	9	406	406	1	405
ENSBTAT00000120713	26	14	16	14	13	8	3	10	18	5	3	6	6	1	14	20	12	7	6	8	11	2	2	17	2	3	4	1	8	6	13	15	31	10	13	19	14	10	2	12	14	9	7	3	9	6	5	14	0	6	1	8	10	5	1	7	0	5	9	8	6	11	5	11	0	38	13	29	44	22	33	15	27	42	53	14	28	32	18	31	34	34	34	9	14	565	565	1	564
