bovine_gene	bovine_id	human_gene_id	human_transcript_id	mouse_return_gene	human_half_life	mouse_half_life	human_te	mouse_te	human_RBH	mouse_RBH	confidence_tier
TSPAN6	Q32KU6	ENSG00000000003	ENST00000373020	ENSMUSG00000067377	8.66095460281751	5.65595234638647	0.974013845611111	0.960896641729871	TRUE	TRUE	1
SCYL3	F1MVE1	ENSG00000000457	ENST00000367771	ENSMUSG00000026584	-6.92917289890567	-5.06439062039366	-0.328010890619718	-0.274707152623337	TRUE	TRUE	1
FIRRM	A0A3Q1LJH1	ENSG00000000460	ENST00000359326	ENSMUSG00000041406	0.440908608565664	-2.38079495882394	-0.282553516671642	0.255547344526887	TRUE	TRUE	1
FUCA2	F1N5H2	ENSG00000001036	ENST00000002165	ENSMUSG00000019810	8.30981072599099	6.20509656015266	0.486509887826667	0.389491541512694	TRUE	TRUE	1
GCLC	A0A3Q1MN33	ENSG00000001084	ENST00000650454	ENSMUSG00000032350	-3.79295516265469	-4.86898191174262	0.141373263789474	0.0592100036530792	TRUE	TRUE	1
NFYA	A0AAA9TQ12	ENSG00000001167	ENST00000341376	ENSMUSG00000023994	-6.4981408274704	-6.72809926635403	0.75482490448718	0.965680825468444	TRUE	TRUE	1
NIPAL3	E1BLE7	ENSG00000001461	ENST00000374399	ENSMUSG00000028803	0.290577323686184	-1.33100560751132	-0.252100177541667	-0.0643831565510768	TRUE	TRUE	1
LAS1L	A0AAA9SQQ3	ENSG00000001497	ENST00000374811	ENSMUSG00000057421	7.62737793851154	2.90089891416775	0.494366794298701	0.572492650278149	TRUE	TRUE	1
ENPP4	A2VDP5	ENSG00000001561	ENST00000321037	ENSMUSG00000023961	-0.286285629631509	-3.14841371262286	0.960573259222222	0.531133129364636	TRUE	TRUE	1
SEMA3F	A0AAA9U165	ENSG00000001617	ENST00000002829	ENSMUSG00000034684	-0.010621487487757	2.96529319359862	-0.449961645054545	-0.389868054417018	TRUE	TRUE	1
ANKIB1	F1MDC0	ENSG00000001629	ENST00000265742	ENSMUSG00000040351	-1.01750306857375	-1.66359745639145	-0.960490568323944	-0.816283093977313	TRUE	TRUE	1
CYP51A1	A0AAF6YJA9	ENSG00000001630	ENST00000003100	ENSMUSG00000001467	2.2753531286541002	-0.599444916338782	1.08056401392208	1.0480389326712	TRUE	TRUE	1
KRIT1	A7Z069	ENSG00000001631	ENST00000394505	ENSMUSG00000000600	-0.885704849512103	-0.799741627786898	-0.486169348319445	-0.260323575754307	TRUE	TRUE	1
