bovine_ensembl_gene_id	human_gene_id	mouse_return_gene	3utr_pid_aln_mean	3utr_pid_shorter_mean	3utr_pid_longer_mean	3utr_pct_gaps_mean	3utr_coverage_mean	5utr_pid_aln_mean	5utr_pid_shorter_mean	5utr_pid_longer_mean	5utr_pct_gaps_mean	5utr_coverage_mean	cds_pid_aln_mean	cds_pid_shorter_mean	cds_pid_longer_mean	cds_pct_gaps_mean	cds_coverage_mean	alignment_file_3utr	alignment_file_5utr	alignment_file_cds
ENSBTAG00000045550	ENSG00000000003	ENSMUSG00000067377	10.8062	68.256	15.0835	84.9932	76.818	58.7002	78.3135	62.9869	26.2055	94.7589	89.2051	89.2051	89.2051	0.0	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000045550__ENSG00000000003__ENSMUSG00000067377.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000045550__ENSG00000000003__ENSMUSG00000067377.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000045550__ENSG00000000003__ENSMUSG00000067377.CDS.aln.fa
ENSBTAG00000014794	ENSG00000000457	ENSMUSG00000026584	16.2328	69.3819	21.2829	77.9874	80.0812	18.1566	66.6244	31.5709	73.7353	77.6854	78.1217	82.4722	78.901	6.1911	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000014794__ENSG00000000457__ENSMUSG00000026584.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014794__ENSG00000000457__ENSMUSG00000026584.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014794__ENSG00000000457__ENSMUSG00000026584.CDS.aln.fa
ENSBTAG00000014793	ENSG00000000460	ENSMUSG00000041406	11.3163	31.7091	17.3862	83.9786	82.6484	4.4264	64.7243	6.6578	93.3153	72.6287	71.2613	82.402	73.8385	13.7177	96.8854	alignment_seq_extracted/aln_fasta/ENSBTAG00000014793__ENSG00000000460__ENSMUSG00000041406.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014793__ENSG00000000460__ENSMUSG00000041406.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014793__ENSG00000000460__ENSMUSG00000041406.CDS.aln.fa
ENSBTAG00000001752	ENSG00000001036	ENSMUSG00000019810	21.2903	50.2083	26.826	61.4337	84.5878	25.4902	54.4676	34.2199	54.7059	83.7255	81.6477	82.4576	81.7585	1.1396	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000001752__ENSG00000001036__ENSMUSG00000019810.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001752__ENSG00000001036__ENSMUSG00000019810.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001752__ENSG00000001036__ENSMUSG00000019810.CDS.aln.fa
ENSBTAG00000015571	ENSG00000001084	ENSMUSG00000032350	56.9998	67.744	62.0634	21.8594	97.518	15.424	63.3797	16.3862	75.2193	87.0614	85.4953	86.4333	85.8154	1.0853	99.6382	alignment_seq_extracted/aln_fasta/ENSBTAG00000015571__ENSG00000001084__ENSMUSG00000032350.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000015571__ENSG00000001084__ENSMUSG00000032350.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000015571__ENSG00000001084__ENSMUSG00000032350.CDS.aln.fa
ENSBTAG00000009905	ENSG00000001167	ENSMUSG00000023994	31.1387	67.3011	42.4077	57.7753	82.606	27.6822	62.3174	39.3974	55.3645	83.1286	91.4112	91.5868	91.4112	0.1916	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000009905__ENSG00000001167__ENSMUSG00000023994.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000009905__ENSG00000001167__ENSMUSG00000023994.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000009905__ENSG00000001167__ENSMUSG00000023994.CDS.aln.fa
ENSBTAG00000013048	ENSG00000001461	ENSMUSG00000028803	15.708	62.9736	17.6033	75.444	90.484	39.6061	64.7222	44.1793	41.2837	92.8519	86.5639	87.4147	86.8527	0.9732	99.6756	alignment_seq_extracted/aln_fasta/ENSBTAG00000013048__ENSG00000001461__ENSMUSG00000028803.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000013048__ENSG00000001461__ENSMUSG00000028803.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000013048__ENSG00000001461__ENSMUSG00000028803.CDS.aln.fa
ENSBTAG00000002210	ENSG00000001497	ENSMUSG00000057421	56.4565	66.6797	60.6516	19.5195	97.2973	10.5769	32.849	18.7119	82.5321	77.0833	69.3065	78.9448	75.0853	15.8786	96.0205	alignment_seq_extracted/aln_fasta/ENSBTAG00000002210__ENSG00000001497__ENSMUSG00000057421.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002210__ENSG00000001497__ENSMUSG00000057421.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002210__ENSG00000001497__ENSMUSG00000057421.CDS.aln.fa
ENSBTAG00000003499	ENSG00000001561	ENSMUSG00000023961	52.9577	62.2126	60.3464	22.5446	95.2958	29.6404	49.0601	37.7251	52.964	89.2128	83.5886	84.141	83.7772	0.6565	99.7812	alignment_seq_extracted/aln_fasta/ENSBTAG00000003499__ENSG00000001561__ENSMUSG00000023961.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000003499__ENSG00000001561__ENSMUSG00000023961.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000003499__ENSG00000001561__ENSMUSG00000023961.CDS.aln.fa
ENSBTAG00000018307	ENSG00000001617	ENSMUSG00000034684	67.3565	76.1684	72.5425	15.2085	96.4566	40.7288	63.4799	49.081	40.9432	88.6388	85.7923	88.8862	86.0438	3.4889	99.7058	alignment_seq_extracted/aln_fasta/ENSBTAG00000018307__ENSG00000001617__ENSMUSG00000034684.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018307__ENSG00000001617__ENSMUSG00000034684.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018307__ENSG00000001617__ENSMUSG00000034684.CDS.aln.fa
