seqname	len_5utr	linker_len	len_3utr
ENSBTAG00000012756_ENSBTAT00000016954_UTR_pair	15	7	122
ENSBTAG00000000542_ENSBTAT00000000705_UTR_pair	18	7	250
ENSBTAG00000005614_ENSBTAT00000123609_UTR_pair	63	7	563
ENSBTAG00000016367_ENSBTAT00000021769_UTR_pair	16	7	346
ENSBTAG00000038748_ENSBTAT00000075590_UTR_pair	55	7	136
ENSBTAG00000004639_ENSBTAT00000006085_UTR_pair	92	7	519
ENSBTAG00000004203_ENSBTAT00000071202_UTR_pair	85	7	316
ENSBTAG00000010812_ENSBTAT00000014321_UTR_pair	23	7	549
ENSBTAG00000020942_ENSBTAT00000027892_UTR_pair	38	7	411
ENSBTAG00000012966_ENSBTAT00000120713_UTR_pair	48	7	398
ENSBTAG00000019231_ENSBTAT00000025606_UTR_pair	19	7	227
ENSBTAG00000001160_ENSBTAT00000109481_UTR_pair	73	7	134
ENSBTAG00000021960_ENSBTAT00000029279_UTR_pair	24	7	431
ENSBTAG00000000944_ENSBTAT00000107270_UTR_pair	33	7	311
ENSBTAG00000004834_ENSBTAT00000080945_UTR_pair	77	7	315
ENSBTAG00000053755_ENSBTAT00000080248_UTR_pair	15	7	147
ENSBTAG00000015829_ENSBTAT00000057413_UTR_pair	57	7	289
ENSBTAG00000009142_ENSBTAT00000012047_UTR_pair	41	7	534
ENSBTAG00000018016_ENSBTAT00000023981_UTR_pair	15	7	309
ENSBTAG00000005708_ENSBTAT00000032984_UTR_pair	84	7	169
ENSBTAG00000002191_ENSBTAT00000083851_UTR_pair	10	7	413
ENSBTAG00000015961_ENSBTAT00000021222_UTR_pair	16	7	384
ENSBTAG00000006491_ENSBTAT00000102574_UTR_pair	63	7	424
ENSBTAG00000006911_ENSBTAT00000045218_UTR_pair	63	7	211
ENSBTAG00000000022_ENSBTAT00000000024_UTR_pair	60	7	146
ENSBTAG00000000647_ENSBTAT00000000851_UTR_pair	19	7	287
ENSBTAG00000011611_ENSBTAT00000124922_UTR_pair	58	7	553
ENSBTAG00000019939_ENSBTAT00000109376_UTR_pair	16	7	533
ENSBTAG00000011509_ENSBTAT00000075870_UTR_pair	41	7	243
ENSBTAG00000013244_ENSBTAT00000078707_UTR_pair	64	7	317
