#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
PP228890.1           -         minimal-a7-motif     -          cm        1       30     9462     9491      +    no    1 0.60   0.0   50.7   2.8e-10 !   MAG: Megrivirus C2 isolate B12_2W3_SA_22, complete genome
PP228891.1           -         minimal-a7-motif     -          cm        1       30     9363     9392      +    no    1 0.60   0.0   50.7   2.8e-10 !   MAG: Megrivirus C2 isolate B11_2W2_SA_22, complete genome
PP228897.1           -         minimal-a7-motif     -          cm        1       30     9480     9509      +    no    1 0.60   0.0   50.7   2.8e-10 !   MAG: Megrivirus C1 isolate C3_7W5_SA_22, complete genome
NC_024768.1          -         minimal-a7-motif     -          cm        1       30     9479     9508      +    no    1 0.60   0.0   50.7   2.8e-10 !   Chicken picornavirus 4 isolate 5C, complete genome
KF961187.1           -         minimal-a7-motif     -          cm        1       30     9481     9510      +    no    1 0.60   0.0   50.7   2.8e-10 !   Chicken megrivirus strain chicken/CHK-IV-CHV/2013/HUN, complete genome
KF979335.1           -         minimal-a7-motif     -          cm        1       30     9479     9508      +    no    1 0.60   0.0   50.7   2.8e-10 !   Chicken picornavirus 4 isolate 5C, complete genome
OR364988.1           -         minimal-a7-motif     -          cm        1       30     9079     9108      +    no    1 0.60   0.0   50.2   4.3e-10 !   Megrivirus sp. strain MeV-B-CHN001, complete genome
NC_038957.1          -         minimal-a7-motif     -          cm        1       30     9001     9030      +    no    1 0.60   0.0   50.2   4.3e-10 !   Picornavirus HK21 polyprotein gene, complete cds
KC811837.1           -         minimal-a7-motif     -          cm        1       30     9121     9150      +    no    1 0.60   0.0   50.2   4.3e-10 !   Pigeon mesivirus 2 strain pigeon/GALII5-PiMeV/2011/HUN, complete genome
NC_024769.1          -         minimal-a7-motif     -          cm        1       30     9506     9535      +    no    1 0.63   0.0   48.7   1.2e-09 !   Megrivirus C2 isolate 27C, complete genome
KF979336.1           -         minimal-a7-motif     -          cm        1       30     9506     9535      +    no    1 0.63   0.0   48.7   1.2e-09 !   Megrivirus C2 isolate 27C, complete genome
PQ368551.1           -         minimal-a7-motif     -          cm        1       30     9903     9932      +    no    1 0.73   0.0   48.0   2.1e-09 !   Goose megrivirus isolate SC02/China/2023, complete genome
NC_033793.1          -         minimal-a7-motif     -          cm        1       30    10004    10033      +    no    1 0.73   0.0   48.0   2.1e-09 !   Megrivirus B3CP-APO isolate HN56, complete genome
NC_024120.1          -         minimal-a7-motif     -          cm        1       30     9603     9632      +    no    1 0.73   0.0   48.0   2.1e-09 !   Megrivirus A2 strain LY, complete genome
KY369300.1           -         minimal-a7-motif     -          cm        1       30    10004    10033      +    no    1 0.73   0.0   48.0   2.1e-09 !   Megrivirus B3CP-APO isolate HN56, complete genome
KC663628.1           -         minimal-a7-motif     -          cm        1       30     9603     9632      +    no    1 0.73   0.0   48.0   2.1e-09 !   Megrivirus A2 strain LY, complete genome
NC_023858.1          -         minimal-a7-motif     -          cm        1       30     9654     9683      +    no    1 0.63   0.0   47.9   2.3e-09 !   Melegrivirus A, complete genome
KF961188.1           -         minimal-a7-motif     -          cm        1       30     9654     9683      +    no    1 0.63   0.0   47.9   2.3e-09 !   Melegrivirus A, complete genome
PP346853.1           -         minimal-a7-motif     -          cm        1       30    10000    10029      +    no    1 0.70   0.0   46.4   6.6e-09 !   Goose megrivirus strain MWG01, complete genome
KY369299.1           -         minimal-a7-motif     -          cm        1       30     9742     9771      +    no    1 0.70   0.0   46.4   6.6e-09 !   Megrivirus A3 isolate W18, complete genome
OP169446.1           -         minimal-a7-motif     -          cm        1       30     9116     9145      +    no    1 0.57   0.0   46.0   9.2e-09 !   MAG: Megrivirus sp. isolate NC-BM-233, complete genome
PQ368550.1           -         minimal-a7-motif     -          cm        1       29     9917     9945      +    3'    3 0.72   0.0   39.5     1e-06 !   Goose megrivirus isolate SC01/China/2023, complete genome
NC_039235.1          -         minimal-a7-motif     -          cm        1       30     9479     9507      +    no    1 0.59   0.0   38.3   2.6e-06 !   Chicken megrivirus strain chicken/B21-CHV/2012/HUN, complete genome
KF961186.1           -         minimal-a7-motif     -          cm        1       30     9479     9507      +    no    1 0.59   0.0   38.3   2.6e-06 !   Chicken megrivirus strain chicken/B21-CHV/2012/HUN, complete genome
KY369883.1           -         minimal-a7-motif     -          cm        1       30      169      141      -    no    1 0.62   0.0   18.3       5.8 ?   Rhinovirus B97 strain SC1079, complete genome
FJ445172.1           -         minimal-a7-motif     -          cm        1       30      206      178      -    no    1 0.62   0.0   18.3       5.8 ?   Human rhinovirus 97 strain ATCC VR-1297, complete genome
#
# Program:         cmsearch
# Version:         1.1.5 (Sep 2023)
# Pipeline mode:   SEARCH
# Query file:      A7_analysis/minimal-a7-motif.cm
# Target file:     A7_analysis/picornavirales_genbank_refseq.fna
# Option settings: /projects/health_sciences/bms/biochemistry/gardner_group/nadia/infernal-1.1.5/src/cmsearch -o A7_analysis/minimal_picornavirales_hits.out -A A7_analysis/minimal_picornavirales_hits.stk --tblout A7_analysis/minimal_picornavirales_hits.tbl A7_analysis/minimal-a7-motif.cm A7_analysis/picornavirales_genbank_refseq.fna 
# Current dir:     /projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization
# Date:            Wed Jun  3 10:58:12 2026
# [ok]
