uniprot_accession,utr5_gc,utr3_gc,zscore_utr5_gc,zscore_utr3_gc
Q5E9U1,100.0,57.19,2.724,0.799
Q0P5I8,94.44,59.93,2.268,1.025
E1BM02,93.75,44.65,2.212,-0.232
G3MY42,94.29,59.38,2.256,0.98
Q2KIJ5,91.89,41.59,2.059,-0.483
F6RFN8,92.11,55.96,2.077,0.698
Q0P585,91.43,31.83,2.022,-1.286
A0A3Q1MEL9,61.18,72.47,-0.457,2.056
G3X686,84.21,73.87,1.43,2.171
A0A3Q1N158,91.3,53.15,2.011,0.467
A0A3Q1LYJ9,77.0,85.41,0.839,3.12
A1A4Q4,93.33,40.82,2.177,-0.547
Q08DJ8,64.29,73.48,-0.203,2.139
P60661,60.0,87.5,-0.554,3.292
