transcript_id	gene_id	strand	model	cds_length	zone_length	n_transition_fragile_codons	n_transversion_fragile_codons	n_snv_fragile_codons	n_alt_stop_codons	transition_fragile_codon_density	transversion_fragile_codon_density	snv_fragile_codon_density	alt_stop_codon_density	transition_fraction_of_snv_fragile
ENSBTAT00000037243	ENSBTAG00000020035	+	full	594	371	6	30	36	15	0.016172506738544475	0.08086253369272237	0.09703504043126684	0.04043126684636118	0.16666666666666666
ENSBTAT00000073708	ENSBTAG00000018278	+	full	642	478	6	42	48	27	0.012552301255230125	0.08786610878661087	0.100418410041841	0.056485355648535567	0.125
ENSBTAT00000049667	ENSBTAG00000035175	+	full	1863	1675	37	118	155	51	0.02208955223880597	0.07044776119402985	0.09253731343283582	0.03044776119402985	0.23870967741935484
ENSBTAT00000011175	ENSBTAG00000008482	-	full	7269	7159	117	654	771	336	0.01634306467383713	0.091353540997346	0.10769660567118312	0.046933929319737396	0.1517509727626459
ENSBTAT00000116578	ENSBTAG00000009188	+	full	3084	2842	47	248	295	114	0.016537649542575653	0.08726249120337791	0.10380014074595355	0.04011259676284307	0.15932203389830507
ENSBTAT00000133069	ENSBTAG00000009187	+	full	1143	0	0	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000001660	ENSBTAG00000001258	+	full	477	381	10	23	33	16	0.026246719160104987	0.06036745406824147	0.08661417322834646	0.04199475065616798	0.30303030303030304
ENSBTAT00000080092	ENSBTAG00000012899	-	full	1206	925	23	75	98	24	0.024864864864864864	0.08108108108108109	0.10594594594594595	0.025945945945945945	0.23469387755102042
ENSBTAT00000029080	ENSBTAG00000021819	-	full	1686	1396	24	135	159	67	0.017191977077363897	0.09670487106017192	0.11389684813753581	0.04799426934097421	0.1509433962264151
ENSBTAT00000003986	ENSBTAG00000003064	+	full	2769	2601	59	267	326	113	0.022683583237216455	0.10265282583621683	0.1253364090734333	0.04344482891195694	0.18098159509202455
ENSBTAT00000027668	ENSBTAG00000020762	-	full	2139	1439	27	113	140	35	0.018763029881862403	0.07852675469075747	0.09728978457261987	0.024322446143154968	0.19285714285714287
ENSBTAT00000083963	ENSBTAG00000018855	+	full	3432	2435	79	160	239	79	0.0324435318275154	0.06570841889117043	0.09815195071868583	0.0324435318275154	0.3305439330543933
ENSBTAT00000032452	ENSBTAG00000018854	-	full	993	835	18	52	70	20	0.02155688622754491	0.06227544910179641	0.08383233532934131	0.023952095808383235	0.2571428571428571
ENSBTAT00000023716	ENSBTAG00000048631	+	full	1875	1355	28	124	152	47	0.020664206642066422	0.09151291512915129	0.1121771217712177	0.03468634686346864	0.18421052631578946
ENSBTAT00000005416	ENSBTAG00000004139	-	full	2226	1729	40	175	215	57	0.02313475997686524	0.10121457489878542	0.12434933487565067	0.03296703296703297	0.18604651162790697
ENSBTAT00000096559	ENSBTAG00000014233	+	full	1662	1624	18	153	171	81	0.011083743842364532	0.09421182266009852	0.10529556650246305	0.049876847290640396	0.10526315789473684
ENSBTAT00000026801	ENSBTAG00000020122	-	full	2484	2309	47	274	321	133	0.020355132091814637	0.11866608921611087	0.13902122130792552	0.057600692940666956	0.14641744548286603
ENSBTAT00000026800	ENSBTAG00000020121	+	full	873	588	11	52	63	23	0.01870748299319728	0.08843537414965986	0.10714285714285714	0.0391156462585034	0.1746031746031746
ENSBTAT00000074692	ENSBTAG00000001412	-	full	783	699	8	50	58	17	0.011444921316165951	0.0715307582260372	0.08297567954220315	0.024320457796852647	0.13793103448275862
ENSBTAT00000000944	ENSBTAG00000000706	+	full	2913	2163	49	157	206	44	0.022653721682847898	0.07258437355524734	0.09523809523809523	0.02034211742949607	0.23786407766990292
ENSBTAT00000085054	ENSBTAG00000017753	+	full	2313	2161	47	190	237	68	0.02174919018972698	0.0879222582137899	0.10967144840351689	0.03146691346598797	0.19831223628691982
ENSBTAT00000025345	ENSBTAG00000019043	-	full	1365	1086	42	95	137	53	0.03867403314917127	0.08747697974217311	0.1261510128913444	0.04880294659300184	0.30656934306569344
ENSBTAT00000001832	ENSBTAG00000001395	+	full	906	689	18	74	92	34	0.026124818577648767	0.10740203193033382	0.13352685050798258	0.04934687953555878	0.1956521739130435
ENSBTAT00000024895	ENSBTAG00000018704	+	full	759	469	6	62	68	28	0.01279317697228145	0.13219616204690832	0.14498933901918976	0.05970149253731343	0.08823529411764706
ENSBTAT00000067490	ENSBTAG00000004869	-	full	1113	798	17	85	102	32	0.021303258145363407	0.10651629072681704	0.12781954887218044	0.040100250626566414	0.16666666666666666
ENSBTAT00000109948	ENSBTAG00000019314	-	full	3375	3152	79	344	423	169	0.025063451776649745	0.10913705583756345	0.1342005076142132	0.053616751269035534	0.1867612293144208
ENSBTAT00000114020	ENSBTAG00000047293	+	full	3471	0	0	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000139161	ENSBTAG00000073338	+	full	1416	698	5	72	77	35	0.0071633237822349575	0.10315186246418338	0.11031518624641834	0.050143266475644696	0.06493506493506493
ENSBTAT00000101606	ENSBTAG00000009851	-	full	4962	4897	131	378	509	166	0.026751072084949968	0.07719011639779456	0.10394118848274454	0.03389830508474576	0.25736738703339884
ENSBTAT00000083071	ENSBTAG00000036262	-	full	2118	2011	34	204	238	96	0.016907011437095974	0.10144206862257583	0.1183490800596718	0.047737444057682744	0.14285714285714285
ENSBTAT00000154212	ENSBTAG00000073909	+	full	645	484	17	49	66	28	0.03512396694214876	0.1012396694214876	0.13636363636363635	0.05785123966942149	0.25757575757575757
ENSBTAT00000109204	ENSBTAG00000046959	-	full	504	0	0	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000006796	ENSBTAG00000005155	+	full	1332	1163	28	139	167	64	0.02407566638005159	0.11951848667239896	0.14359415305245055	0.055030094582975066	0.16766467065868262
ENSBTAT00000020876	ENSBTAG00000015728	+	full	1017	696	15	80	95	32	0.021551724137931036	0.11494252873563218	0.13649425287356323	0.04597701149425287	0.15789473684210525
ENSBTAT00000013306	ENSBTAG00000010091	+	full	582	498	9	51	60	27	0.018072289156626505	0.10240963855421686	0.12048192771084337	0.05421686746987952	0.15
ENSBTAT00000151826	ENSBTAG00000073969	+	full	366	0	0	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000113470	ENSBTAG00000015546	-	full	1608	1399	33	107	140	36	0.023588277340957826	0.0764832022873481	0.10007147962830593	0.02573266619013581	0.2357142857142857
ENSBTAT00000080474	ENSBTAG00000020996	-	full	1005	734	14	52	66	28	0.01907356948228883	0.07084468664850137	0.08991825613079019	0.03814713896457766	0.21212121212121213
ENSBTAT00000005398	ENSBTAG00000004124	-	full	1350	1212	24	88	112	29	0.019801980198019802	0.07260726072607261	0.0924092409240924	0.02392739273927393	0.21428571428571427
ENSBTAT00000005868	ENSBTAG00000004471	+	full	996	996	14	95	109	57	0.014056224899598393	0.09538152610441768	0.10943775100401607	0.0572289156626506	0.12844036697247707
ENSBTAT00000134326	ENSBTAG00000014889	-	full	2232	1712	42	151	193	64	0.02453271028037383	0.08820093457943926	0.11273364485981309	0.037383177570093455	0.21761658031088082
ENSBTAT00000018161	ENSBTAG00000013664	-	full	3552	3322	87	374	461	170	0.026189042745334137	0.11258278145695365	0.13877182420228779	0.051173991571342566	0.18872017353579176
ENSBTAT00000134465	ENSBTAG00000015010	+	full	2298	2166	43	202	245	89	0.019852262234533704	0.09325946445060018	0.11311172668513389	0.041089566020313946	0.17551020408163265
ENSBTAT00000087123	ENSBTAG00000004833	+	full	888	746	17	63	80	25	0.022788203753351208	0.08445040214477212	0.10723860589812333	0.03351206434316354	0.2125
ENSBTAT00000019001	ENSBTAG00000014302	-	full	1830	1626	45	166	211	69	0.027675276752767528	0.10209102091020911	0.12976629766297662	0.042435424354243544	0.2132701421800948
ENSBTAT00000074340	ENSBTAG00000004459	+	full	885	684	17	52	69	18	0.024853801169590642	0.07602339181286549	0.10087719298245613	0.02631578947368421	0.2463768115942029
ENSBTAT00000068901	ENSBTAG00000016363	+	full	1242	809	22	56	78	45	0.027194066749072928	0.069221260815822	0.09641532756489493	0.05562422744128554	0.28205128205128205
ENSBTAT00000022522	ENSBTAG00000016932	-	full	3144	2956	62	319	381	157	0.02097428958051421	0.10791610284167795	0.12889039242219216	0.05311231393775372	0.16272965879265092
ENSBTAT00000143378	ENSBTAG00000015069	+	full	600	555	7	56	63	24	0.012612612612612612	0.1009009009009009	0.11351351351351352	0.043243243243243246	0.1111111111111111
ENSBTAT00000017903	ENSBTAG00000013460	-	full	3159	2591	66	292	358	112	0.02547279042840602	0.11269780007719027	0.1381705905055963	0.043226553454264766	0.18435754189944134
ENSBTAT00000130779	ENSBTAG00000013461	-	full	522	435	13	40	53	11	0.029885057471264367	0.09195402298850575	0.12183908045977011	0.02528735632183908	0.24528301886792453
ENSBTAT00000101506	ENSBTAG00000013464	+	full	2610	2500	69	215	284	119	0.0276	0.086	0.1136	0.0476	0.24295774647887325
ENSBTAT00000150377	ENSBTAG00000013465	+	full	1755	1154	28	92	120	34	0.024263431542461005	0.07972270363951472	0.10398613518197573	0.029462738301559793	0.23333333333333334
ENSBTAT00000014591	ENSBTAG00000010987	+	full	2160	2056	63	140	203	62	0.0306420233463035	0.06809338521400778	0.09873540856031128	0.030155642023346304	0.3103448275862069
ENSBTAT00000000097	ENSBTAG00000000088	+	full	1752	1730	28	178	206	77	0.016184971098265895	0.10289017341040463	0.11907514450867052	0.04450867052023121	0.13592233009708737
ENSBTAT00000062945	ENSBTAG00000013057	-	full	3027	2717	50	232	282	110	0.01840264998159735	0.08538829591461171	0.10379094589620906	0.04048582995951417	0.1773049645390071
ENSBTAT00000009058	ENSBTAG00000006893	+	full	2829	2691	45	316	361	94	0.016722408026755852	0.11742846525455221	0.13415087328130806	0.03493125232255667	0.12465373961218837
ENSBTAT00000131152	ENSBTAG00000003585	-	full	1002	943	10	89	99	41	0.010604453870625663	0.09437963944856839	0.10498409331919406	0.043478260869565216	0.10101010101010101
ENSBTAT00000007606	ENSBTAG00000005787	-	full	1290	1061	20	116	136	46	0.01885014137606032	0.10933081998114987	0.1281809613572102	0.043355325164938736	0.14705882352941177
ENSBTAT00000129215	ENSBTAG00000006158	+	full	3681	3520	84	375	459	193	0.023863636363636365	0.10653409090909091	0.13039772727272728	0.05482954545454546	0.1830065359477124
ENSBTAT00000132201	ENSBTAG00000013769	+	full	1650	1019	17	87	104	40	0.016683022571148183	0.08537782139352307	0.10206084396467124	0.03925417075564279	0.16346153846153846
ENSBTAT00000068946	ENSBTAG00000001209	+	full	3975	3784	81	348	429	134	0.021405919661733615	0.0919661733615222	0.11337209302325581	0.0354122621564482	0.1888111888111888
ENSBTAT00000006038	ENSBTAG00000004601	+	full	993	598	11	42	53	17	0.01839464882943144	0.07023411371237458	0.08862876254180602	0.028428093645484948	0.20754716981132076
