transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENSMUST00000156816.7	ENSMUSG00000033845	62	0	0	0	0	NA	NA	NA
ENSMUST00000027036.11	ENSMUSG00000025903	91	0	0	0	0	NA	NA	NA
ENSMUST00000081551.14	ENSMUSG00000033813	100	0	0	0	0	NA	NA	NA
ENSMUST00000118000.8	ENSMUSG00000002459	108	2	0	1	13	9	13	6
ENSMUST00000192698.3	ENSMUSG00000033793	159	0	0	0	0	NA	NA	NA
ENSMUST00000027040.13	ENSMUSG00000025907	467	2	0	1	55	37	257	77
ENSMUST00000061280.17	ENSMUSG00000051285	412	1	0	1	2	2	390	13
ENSMUST00000088658.11	ENSMUSG00000025912	255	1	1	1	12	12	15	201
ENSMUST00000057438.7	ENSMUSG00000045210	226	1	0	1	3	3	179	35
ENSMUST00000071087.12	ENSMUSG00000056763	138	3	0	1	10	6	8	73
ENSMUST00000088615.11	ENSMUSG00000067851	176	0	0	0	0	NA	NA	NA
ENSMUST00000177608.8	ENSMUSG00000016918	635	4	0	1	101	68	230	86
ENSMUST00000006037.13	ENSMUSG00000005886	222	1	1	1	24	24	60	87
ENSMUST00000027068.11	ENSMUSG00000025935	188	1	0	1	25	25	49	61
ENSMUST00000027071.7	ENSMUSG00000025937	96	0	0	0	0	NA	NA	NA
ENSMUST00000027066.13	ENSMUSG00000025932	609	6	1	1	121	72	117	59
ENSMUST00000027053.8	ENSMUSG00000025921	244	0	0	0	0	NA	NA	NA
ENSMUST00000162751.8	ENSMUSG00000025920	218	1	1	1	22	22	98	51
ENSMUST00000188641.7	ENSMUSG00000079658	112	0	0	0	0	NA	NA	NA
ENSMUST00000053266.11	ENSMUSG00000041859	104	0	0	0	0	NA	NA	NA
ENSMUST00000189400.7	ENSMUSG00000025931	303	2	0	1	35	29	160	53
ENSMUST00000037998.6	ENSMUSG00000041779	116	0	0	0	0	NA	NA	NA
ENSMUST00000027065.12	ENSMUSG00000025933	331	0	0	0	0	NA	NA	NA
ENSMUST00000027343.6	ENSMUSG00000026158	124	1	0	1	4	4	72	37
ENSMUST00000027339.14	ENSMUSG00000026155	162	0	0	0	0	NA	NA	NA
ENSMUST00000187369.7	ENSMUSG00000026153	342	7	0	1	115	65	5	48
ENSMUST00000095062.10	ENSMUSG00000073725	259	1	0	1	1	1	96	157
ENSMUST00000088287.10	ENSMUSG00000004768	436	1	0	1	17	17	351	31
ENSMUST00000044691.9	ENSMUSG00000042215	104	0	0	0	0	NA	NA	NA
ENSMUST00000044455.8	ENSMUSG00000042197	212	0	0	0	0	NA	NA	NA
ENSMUST00000027303.14	ENSMUSG00000026127	74	0	0	0	0	NA	NA	NA
ENSMUST00000167518.8	ENSMUSG00000037503	234	0	0	0	0	NA	NA	NA
ENSMUST00000027297.11	ENSMUSG00000026123	80	0	0	0	0	NA	NA	NA
ENSMUST00000088174.4	ENSMUSG00000045216	258	0	1	1	0	NA	248	NA
ENSMUST00000046875.14	ENSMUSG00000037470	178	0	0	0	0	NA	NA	NA
ENSMUST00000115032.8	ENSMUSG00000037447	79	0	0	0	0	NA	NA	NA
ENSMUST00000125304.8	ENSMUSG00000001143	38	0	1	1	0	NA	15	NA
ENSMUST00000153128.2	ENSMUSG00000037408	73	0	0	0	0	NA	NA	NA
ENSMUST00000191677.6	ENSMUSG00000026121	374	0	0	0	0	NA	NA	NA
ENSMUST00000043951.10	ENSMUSG00000037351	155	0	0	0	0	NA	NA	NA
ENSMUST00000027290.12	ENSMUSG00000026116	182	0	0	0	0	NA	NA	NA
ENSMUST00000027287.11	ENSMUSG00000026113	394	5	2	1	58	21	228	87
ENSMUST00000027286.7	ENSMUSG00000026112	136	0	0	0	0	NA	NA	NA
ENSMUST00000114925.10	ENSMUSG00000026111	148	0	0	0	0	NA	NA	NA
ENSMUST00000042161.15	ENSMUSG00000026110	103	1	1	1	3	3	90	1
